,tair,t_heat_sp,t_heat_vip,t_slab1,tout
184,22.9,21.1,23.0,23.4,10.9
185,22.8,21.1,23.0,23.4,10.9
186,22.7,21.1,23.0,23.4,11.0
187,22.7,21.1,23.0,23.3,11.0
188,22.7,21.1,23.0,23.3,11.19999999
189,22.8,21.1,23.0,23.3,11.1
190,22.7,21.1,23.0,23.3,11.19999999
191,22.8,21.1,23.0,23.3,11.10000001
192,22.9,21.1,23.0,23.3,11.1
193,22.9,21.1,23.0,23.3,11.29999999
194,23.2,21.1,23.0,23.3,11.3
195,23.4,21.1,23.0,23.3,11.4
196,23.5,21.1,23.0,23.3,11.4
197,23.7,21.1,23.0,23.4,11.49999999
198,23.8,21.1,23.0,23.4,11.4
199,23.8,21.1,23.0,23.4,11.4
200,23.8,21.1,23.0,23.4,11.4
201,23.9,21.1,23.0,23.4,11.49999999
202,23.8,21.1,23.0,23.4,11.5
203,23.9,21.1,23.0,23.4,11.6
204,23.9,21.1,23.0,23.4,11.6
205,24.3,21.1,23.0,23.4,11.6
206,24.4,21.1,23.0,23.4,11.6
207,24.5,21.1,23.0,23.4,11.6
208,24.6,21.1,23.0,23.4,11.8
209,24.7,21.1,23.0,23.4,11.8
210,24.7,21.1,23.0,23.4,11.70000001
211,24.7,21.1,23.0,23.4,11.89999999
212,24.7,21.1,23.0,23.4,11.9
213,24.6,21.1,23.0,23.4,11.90000001
214,24.8,21.1,23.0,23.4,11.99999999
215,24.7,21.1,23.0,23.5,12.09999999
216,24.7,21.1,23.0,23.4,12.0
217,24.8,21.1,23.0,23.4,12.09999999
218,24.7,21.1,23.0,23.5,12.00000001
219,24.7,21.1,23.0,23.4,12.09999999
220,24.7,21.1,23.0,23.4,12.1
221,24.7,21.1,23.0,23.4,12.1
222,24.6,21.1,23.0,23.4,12.2
223,24.7,21.1,23.0,23.4,12.2
224,24.7,21.1,23.0,23.4,12.10000001
225,24.7,21.1,23.0,23.4,12.2
226,24.6,21.1,23.0,23.4,12.20000001
227,24.5,21.1,23.0,23.4,12.39999997
228,24.4,21.1,23.0,23.4,12.4
229,24.3,21.1,23.0,23.4,12.3
230,24.1,21.1,23.0,23.4,12.5
231,24.1,21.1,23.0,23.4,12.5
232,24.1,21.1,23.0,23.4,12.5
233,24.1,21.1,23.0,23.4,12.40000001
234,24.1,21.1,23.0,23.4,12.5
235,24.0,21.1,23.0,23.4,12.5
236,24.0,21.1,23.0,23.4,12.5
237,24.0,21.1,23.0,23.4,12.59999999
238,24.1,21.1,23.0,23.4,12.5
239,24.1,23.0,23.0,23.4,12.6
240,24.2,22.9,22.9,23.3,12.6
241,24.2,22.8,22.8,23.3,12.6
242,24.0,22.7,22.7,23.3,12.6
243,24.0,22.6,22.6,23.3,12.5
244,24.2,22.5,22.5,23.3,12.69999999
245,24.0,22.4,22.4,23.3,12.60000001
246,23.9,22.3,22.3,23.3,12.6
247,24.0,22.2,22.2,23.3,12.7
248,24.0,22.1,22.1,23.3,12.7
